SERVER,,,,,,,log.php,NEWLOG
GUEST,8F8DAC,2979,,,,,Fri May 9 18:34:49 GMT+0200 2008,80.79.44.102:1261<br />
GUEST,BCDAD8,5096,,,,,Fri May 9 18:34:54 GMT+0200 2008,80.79.44.102:1287<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:35:05 GMT+0200 2008,80.79.44.102:1298<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:35:19 GMT+0200 2008,80.79.44.102:1262<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:35:35 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:35:49 GMT+0200 2008,80.79.44.102:1262<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:36:05 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:36:19 GMT+0200 2008,80.79.44.102:1262<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:36:35 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:36:49 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:37:05 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:37:19 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:37:35 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:37:49 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:38:05 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:38:19 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:38:35 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:38:49 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:39:05 GMT+0200 2008,80.79.44.102:1303<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:39:19 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:39:35 GMT+0200 2008,80.79.44.102:1370<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:39:49 GMT+0200 2008,80.79.44.102:1264<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:40:05 GMT+0200 2008,80.79.44.102:1370<br />
GUEST,8F8DAC,2979,,,,,Fri May 9 18:40:19 GMT+0200 2008,80.79.44.102:1267<br />
SERVER,,,,,,,frb.php (flip)
SERVER,,,,,,,reboot.php
REBOOT,AGE,,undefined,,GUE,true,Fri May 9 18:40:36 GMT+0200 2008,80.79.44.102:1267<br />
GUEST,799CAB,3238,,,,,Fri May 9 18:40:35 GMT+0200 2008,80.79.44.102:1370<br />
SERVER,,,,,,,reboot.php
REBOOT,AGE,,undefined,,GUE,true,Fri May 9 18:40:36 GMT+0200 2008,80.79.44.102:1370<br />
SERVER,,,,,,,CINIT_DB
SERVER,,,,,,,reboot.php
REBOOT,AGE,,true,,GUE,false,Fri May 9 18:40:52 GMT+0200 2008,80.79.44.102:1272<br />
SERVER,,,,,,,CINIT_DB
SERVER,,,,,,,reboot.php
REBOOT,AGE,,true,,GUE,false,Fri May 9 18:40:56 GMT+0200 2008,80.79.44.102:1272<br />
REBOOT,AGE,,false,,GUE,false,Fri May 9 18:40:53 GMT+0200 2008,80.79.44.102:1393<br />
SERVER,,,,,,,CINIT_DB
SERVER,,,,,,,reboot.php
REBOOT,AGE,,true,,GUE,false,Fri May 9 18:41:00 GMT+0200 2008,80.79.44.102:1272<br />
SERVER,,,,,,,CINIT_DB
AGENT,PAP,0,CGP,0,PSD,false,Fri May 9 18:41:10 GMT+0200 2008,80.79.44.102:1272<br />,ASAP,0,ASGP,0,TOL,20
AGENT,PAP,0,CGP,0,PSD,false,Fri May 9 18:41:20 GMT+0200 2008,80.79.44.102:1272<br />,ASAP,0,ASGP,0,TOL,20
GOD,CAP,3,PGP,0,PSD,false,Fri May 9 18:41:22 GMT+0200 2008,80.79.44.102:1398<br />,ASAP,-3,ASGP,0,TOL,20
AGENT,PAP,5,CGP,0,PSD,false,Fri May 9 18:41:30 GMT+0200 2008,80.79.44.102:1272<br />,ASAP,2,ASGP,0,TOL,20
GOD,CAP,5,PGP,0,PSD,false,Fri May 9 18:41:32 GMT+0200 2008,80.79.44.102:1398<br />,ASAP,0,ASGP,0,TOL,20
AGENT,PAP,6,CGP,0,PSD,false,Fri May 9 18:41:40 GMT+0200 2008,80.79.44.102:1272<br />,ASAP,1,ASGP,0,TOL,20
GOD,CAP,6,PGP,0,PSD,false,Fri May 9 18:41:42 GMT+0200 2008,80.79.44.102:1398<br />,ASAP,0,ASGP,0,TOL,20
AGENT,PAP,7,CGP,0,PSD,false,Fri May 9 18:41:51 GMT+0200 2008,80.79.44.102:1276<br />,ASAP,1,ASGP,0,TOL,20
GOD,CAP,8,PGP,0,PSD,false,Fri May 9 18:41:52 GMT+0200 2008,80.79.44.102:1398<br />,ASAP,-1,ASGP,0,TOL,20
AGENT,PAP,10,CGP,0,PSD,false,Fri May 9 18:42:01 GMT+0200 2008,80.79.44.102:1278<br />,ASAP,2,ASGP,0,TOL,20
GOD,CAP,11,PGP,0,PSD,false,Fri May 9 18:42:02 GMT+0200 2008,80.79.44.102:1398<br />,ASAP,-1,ASGP,0,TOL,20
AGENT,PAP,12,CGP,0,PSD,false,Fri May 9 18:42:11 GMT+0200 2008,80.79.44.102:1278<br />,ASAP,1,ASGP,0,TOL,20
